date_week,year,month,dayofyear,x1,x2,x1_adstock,x2_adstock,x1_adstock_saturated,x2_adstock_saturated,trend,cs,cc,seasonality,event_1,event_2,intercept,epsilon,y
2018-04-02,2018,4,92,0.31858001793594865,0.0,0.10142070733122195,0.0,0.3407779918969794,0.0,0.7782794100389228,0.02148666818397291,-0.010743954210909479,0.005371356986531716,0.0,0.0,2.0,0.1062601403194713,3.9122448830358643
2018-04-09,2018,4,99,0.1123884764420599,0.0,0.10677363423317776,0.0,0.35723055160698225,0.0,0.790637897855436,0.2591649639138418,-0.13070372751198533,0.06423061820092824,0.0,0.0,2.0,0.06719813977077926,3.9937583106480905
2018-04-16,2018,4,106,0.2924002662869313,0.0,0.16782786501623073,0.0,0.5280213011331333,0.0,0.8027456726268485,0.4819043098624107,-0.2487731391528918,0.11656558535475944,0.0,0.0,2.0,0.2420419206898989,4.745417082070906
2018-04-23,2018,4,113,0.07139855257508415,0.0,0.14020940474203566,0.0,0.4547979456829001,0.0,0.8146142903004105,0.6768654246191287,-0.36324455697000746,0.1568104338245606,0.0,0.0,2.0,0.09563086386443129,4.431449425038103
2018-04-30,2018,4,120,0.3867451535946977,0.0,0.2212678239064049,0.0,0.6495023077223492,0.0,0.8262544912406975,0.8328102370393751,-0.47246238640955923,0.18017392531490792,0.0,0.0,2.0,-0.11813980714885058,4.836795532573802
2018-05-07,2018,5,127,0.047170986123933556,0.0,0.16990447249334,0.0,0.5332428955343166,0.0,0.8376762767631964,0.9407496782065095,-0.5748470153112094,0.18295133144765002,0.0,0.0,2.0,-0.1784742584110013,4.441882036402794
2018-05-14,2018,5,134,0.4242491048456278,0.0,0.2539938435196468,0.0,0.7108888032850187,0.0,0.8488889767924208,0.9944618349935954,-0.668917659761977,0.1627720876158092,0.0,0.0,2.0,0.39454354699568933,5.538871021258975
2018-05-21,2018,5,141,0.3339201745242034,0.8797818351192218,0.2840999731737209,0.5282152722323431,0.7592110320835668,0.9193243442917275,0.8599013098608932,0.990850597491447,-0.7533137806020226,0.1187684084447122,0.0,0.0,2.0,-0.1836347490262385,6.911316754113522
2018-05-28,2018,5,148,0.2530702847317296,0.0,0.27358880704122995,0.21128610889293728,0.743186891847268,0.5607032521368239,0.870721436474196,0.9301241269224694,-0.8268147608364065,0.051654683043031446,0.0,0.0,2.0,0.0832570236874785,6.3566003230201575
2018-06-04,2018,6,155,0.9380544157922965,0.0,0.48808142577749986,0.08451444355717493,0.9364367879837427,0.24824654389368736,0.8813570067098573,0.8157828566806118,-0.888357559359379,-0.0362873513393836,0.0,0.0,2.0,0.31273205963521783,6.463605166744294
2018-06-11,2018,6,162,0.4252050727940623,0.0,0.4716558043244226,0.03380577742286997,0.9289666768104342,0.10107104838842411,0.8918152027875426,0.6544177181490256,-0.9370520856662402,-0.1413171837586073,0.0,0.0,2.0,-0.017445121401343477,5.722095024835743
2018-06-18,2018,6,169,0.36314297707823523,0.0,0.44445616105903213,0.013522310969147987,0.9147041932863279,0.04054469420316845,0.9021027772397054,0.4553302220897019,-0.9721940731890597,-0.25843192554967886,0.0,0.0,2.0,0.2612410308305952,5.730113850785942
2018-06-25,2018,6,176,0.44149469629470317,0.0,0.4445725061110817,0.005408924387659195,0.9147706721480244,0.01622534909899697,0.9122260872214059,0.22999629511247385,-0.9932752650698283,-0.3816394849786772,0.0,0.0,2.0,0.049530721231261184,5.356880038116056
2018-07-02,2018,7,183,0.4231116264841024,0.9641868797648888,0.44503364818536806,0.5810550799541209,0.9150336792714001,0.9405926350541945,0.9221911254221886,-0.008595222901298353,-0.9999907650547006,-0.5042929939779995,0.0,0.0,2.0,0.39414834557276546,7.438332784939544
2018-07-09,2018,7,190,0.3283922492206611,0.0,0.4082820269353045,0.2324220319816484,0.8914588360069662,0.6026295923346714,0.9320035479790809,-0.24669128967296414,-0.9922434471936985,-0.6194673684333313,0.0,0.0,2.0,0.3820876224647756,6.574259494700767
2018-07-16,2018,7,197,0.9219403026381182,0.0,0.5731710792248511,0.09262264163184918,0.9644559399164375,0.27093065056790516,0.9416686997358623,-0.47056742203585,-0.9701453605686069,-0.7203563913022284,0.0,0.0,2.0,-0.3321493369673257,5.324392092351431
2018-07-23,2018,7,204,0.3080155122670448,0.0,0.49463278490156143,0.03704905665273967,0.9391993213096946,0.11069172769725098,0.9511916371480313,-0.6673188112222391,-0.934016108732548,-0.8006674599773935,0.0,0.0,2.0,-0.1516428077219835,5.03786278877224
2018-07-30,2018,7,211,0.9094852261606342,0.0,0.6185642046189225,0.014819622661095867,0.9740058695378511,0.044429598792435784,0.9605771490939974,-0.8256041899633285,-0.8843782272993225,-0.8549912086313255,0.0,0.0,2.0,0.07174902605255187,5.1882117727136485
2018-08-06,2018,8,218,0.25069864729904767,0.0,0.5050019289702519,0.005927849064438347,0.9433355170435421,0.017781672721195848,0.9698297758198224,-0.9362995729471476,-0.8219496265362164,-0.879124599741682,0.0,0.0,2.0,-0.3136414963027238,4.642633576348435
